Algorithm,Mean Final Return,Std Final Return,Mean Return Variance Across Training,Best Seed Final Return,Worst Seed Final Return
reinforce,398.992,131.11410967363898,18440.30698148148,497.48,212.46
reinforce_baseline,450.398,104.59140653343029,14410.225555555557,500.0,315.36
