Algorithm,Alpha,Final Avg Train Reward,Eval Mean Reward,Eval Mean Length,Episode Reaches Threshold,Reward AUC,Final Mean Episode Length
sarsa,0.5,-25.72533333333333,-17.0,17.0,102.0,-18381.833333333336,21.765333333333334
q_learning,0.5,-47.14066666666667,-13.0,13.0,155.0,-28192.933333333334,16.714666666666666
sarsa,0.5,-42.325333333333326,-17.0,17.0,,-1478041.8666666665,34.20733333333333
q_learning,0.5,-44.484666666666655,-13.0,13.0,489.0,-1645736.0,16.302666666666667
sarsa,0.5,-38.87133333333333,-17.0,17.0,281.0,-339784.5,35.50533333333333
q_learning,0.5,-29.413333333333334,-13.0,13.0,272.0,-429412.1333333333,14.695333333333334
